handle,url,title,vendor,category,productType,collections,available,priceMin,priceMax,compareAt,zeroPrice,duplicateTitle,nearDuplicates,imageMain,imageCount,missingImages,photoPreparing,altMissing,altInternal,descriptionLength,ingredientes,supplementFacts,porcion,cantidad,modoUso,advertencias,contraindicaciones,claims,claimClass,metaTitle,metaDescription,ogTitle,ogDescription,canonical,structuredData,productSchema,availabilitySchema,httpStatus,gtinUpc,sku,relatedProducts,notes,regulatoryStatus,reviewReason
"crema-de-masaje-para-estrias-4-4oz-125ml-manteca-de-cacao-palmers","https://drop-shop-g7.myshopify.com/products/crema-de-masaje-para-estrias-4-4oz-125ml-manteca-de-cacao-palmers","Crema de masaje para estrias 4,4oz - 125ml Manteca de Cacao, Palmer's","Palmer's","cosmético/cuidado personal o dispositivo","Cuidado corporal y fragancias","","false","48400","48400","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/Salpal-423.png?v=1785534197","5","false","false","5","","656","false","false","false","true","true","false","false","","SAFE","Crema de masaje para estrias 4,4oz - 125ml Manteca de Cacao, Palmer's &ndash; Drop Shop","Cocoa Butter Formula Massage Cream for Stretch Marks de Palmer&#39;s, con vitamina E. Es la crema de masaje para zonas propensas a estrías.Qué llevaManteca de cacao y de karité, aceite de coco, aceite de almendras dulces, acetato de tocoferol (vitamina E) y Centella asiatica. La marca destaca además colágeno, elastina y lu","Crema de masaje para estrias 4,4oz - 125ml Manteca de Cacao, Palmer&#39;s","Cocoa Butter Formula Massage Cream for Stretch Marks de Palmer&#39;s, con vitamina E. Es la crema de masaje para zonas propensas a estrías.Qué llevaManteca de cacao y de karité, aceite de coco, aceite de almendras dulces, acetato de tocoferol (vitamina E) y Centella asiatica. La marca destaca además colágeno, elastina y lu","https://drop-shop-g7.myshopify.com/products/crema-de-masaje-para-estrias-4-4oz-125ml-manteca-de-cacao-palmers","true","true","true","200","","Salpal-423","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"tonico-facial-neutrogena-sin-alcohol-hipoalergenico-236mg","https://drop-shop-g7.myshopify.com/products/tonico-facial-neutrogena-sin-alcohol-hipoalergenico-236mg","Tónico facial Neutrogena sin alcohol hipoalergénico,236(Mg)","Neutrogena","REVIEW","Cuidado facial","","false","52700","52700","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/SalNeu-278-360-slot.webp?v=1786656757","6","false","false","6","","603","false","false","false","false","true","false","false","hipoalergen","REVIEW","Tónico facial Neutrogena sin alcohol hipoalergénico,236(Mg) &ndash; Drop Shop","Tónico facial Alcohol-Free de Neutrogena. Limpia los restos que deja el desmaquillante y reacondiciona la piel sin resecarla, porque no lleva alcohol etílico.Cómo se usaHumedece un algodón con el tónico y aplícalo en el rostro con movimientos suaves hacia arriba.Qué dice la marcaSin alcohol etílico, sin aceite, sin col","Tónico facial Neutrogena sin alcohol hipoalergénico,236(Mg)","Tónico facial Alcohol-Free de Neutrogena. Limpia los restos que deja el desmaquillante y reacondiciona la piel sin resecarla, porque no lleva alcohol etílico.Cómo se usaHumedece un algodón con el tónico y aplícalo en el rostro con movimientos suaves hacia arriba.Qué dice la marcaSin alcohol etílico, sin aceite, sin col","https://drop-shop-g7.myshopify.com/products/tonico-facial-neutrogena-sin-alcohol-hipoalergenico-236mg","true","true","true","200","","SalNeu-278","true","","COSMÉTICO","“Hipoalergénico” debe coincidir con etiqueta/NSO; además “236(Mg)” es unidad probablemente incorrecta."
"serum-hidratante-antioxidante-pure-vitamin-c10-30ml","https://drop-shop-g7.myshopify.com/products/serum-hidratante-antioxidante-pure-vitamin-c10-30ml","Sérum Hidratante Antioxidante Pure Vitamin C10 30ml","La Roche-Posay","cosmético/cuidado personal o dispositivo","Cuidado facial","","true","190000","190000","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/SalLRP_-121-360-slot.webp?v=1786647696","6","false","false","6","","616","false","false","false","true","true","false","false","antioxidante","REVIEW","Sérum Hidratante Antioxidante Pure Vitamin C10 30ml &ndash; Drop Shop","Sérum antioxidante con vitamina C pura (ácido L-ascórbico) al 10 %, de La Roche-Posay.Cómo se usaAplica 3 o 4 gotas evitando el contorno de ojos y masajea suavemente con las yemas de los dedos. Continúa con tu hidratante habitual y con protector solar.Qué llevaAdemás de la vitamina C pura, la fórmula incluye ácido sali","Sérum Hidratante Antioxidante Pure Vitamin C10 30ml","Sérum antioxidante con vitamina C pura (ácido L-ascórbico) al 10 %, de La Roche-Posay.Cómo se usaAplica 3 o 4 gotas evitando el contorno de ojos y masajea suavemente con las yemas de los dedos. Continúa con tu hidratante habitual y con protector solar.Qué llevaAdemás de la vitamina C pura, la fórmula incluye ácido sali","https://drop-shop-g7.myshopify.com/products/serum-hidratante-antioxidante-pure-vitamin-c10-30ml","true","true","true","200","","SalLRP -121","true","","COSMÉTICO","“Antioxidante” y función de ingredientes deben quedar trazables a etiqueta/fabricante y NSO."
"mist-corporal-con-brillo-pure-seduction","https://drop-shop-g7.myshopify.com/products/mist-corporal-con-brillo-pure-seduction","Mist corporal con brillo Pure Seduction","Victoria's Secret","cosmético/cuidado personal o dispositivo","Cuidado corporal y fragancias","","false","67587","67587","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelVic-464.png?v=1785534195","5","false","false","5","","508","false","false","false","true","true","false","false","","SAFE","Mist corporal con brillo Pure Seduction &ndash; Drop Shop","Bruma corporal Pure Seduction Shimmer de Victoria&#39;s Secret, de familia frutal floral: la marca declara notas de ciruela jugosa y fresia triturada.Qué tipo de brillo esEl resplandor es perlado y fino, producido por fluorflogopita sintética y dióxido de titanio. No es glitter plástico de partícula grande.Cómo se usaAgita","Mist corporal con brillo Pure Seduction","Bruma corporal Pure Seduction Shimmer de Victoria&#39;s Secret, de familia frutal floral: la marca declara notas de ciruela jugosa y fresia triturada.Qué tipo de brillo esEl resplandor es perlado y fino, producido por fluorflogopita sintética y dióxido de titanio. No es glitter plástico de partícula grande.Cómo se usaAgita","https://drop-shop-g7.myshopify.com/products/mist-corporal-con-brillo-pure-seduction","true","true","true","200","","BelVic-464","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"mist-corporal-con-brillo-bare-vanilla","https://drop-shop-g7.myshopify.com/products/mist-corporal-con-brillo-bare-vanilla","Mist Corporal con Brillo Bare Vanilla","Victoria's Secret","cosmético/cuidado personal o dispositivo","Cuidado corporal y fragancias","","false","73487","73487","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelVic-463.png?v=1785534194","5","false","false","5","","586","false","false","false","true","true","false","false","","SAFE","Mist Corporal con Brillo Bare Vanilla &ndash; Drop Shop","Bruma corporal Bare Vanilla Shimmer de Victoria&#39;s Secret: el mismo gourmand de vainilla batida y cachemira suave, con un brillo añadido.Qué tipo de brillo esEs un resplandor fino, cálido y perlado, no escarcha gruesa. La fórmula oficial incluye fluorflogopita sintética y dióxido de titanio, que son las partículas miner","Mist Corporal con Brillo Bare Vanilla","Bruma corporal Bare Vanilla Shimmer de Victoria&#39;s Secret: el mismo gourmand de vainilla batida y cachemira suave, con un brillo añadido.Qué tipo de brillo esEs un resplandor fino, cálido y perlado, no escarcha gruesa. La fórmula oficial incluye fluorflogopita sintética y dióxido de titanio, que son las partículas miner","https://drop-shop-g7.myshopify.com/products/mist-corporal-con-brillo-bare-vanilla","true","true","true","200","","BelVic-463","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"splash-velvet-petals-victorias-secret-250ml","https://drop-shop-g7.myshopify.com/products/splash-velvet-petals-victorias-secret-250ml","Splash Velvet Petals Victoria's Secret 250ml","Victoria's Secret","cosmético/cuidado personal o dispositivo","Cuidado corporal y fragancias","","false","70176","70176","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelVic-461.png?v=1785534191","5","false","false","5","","617","false","false","false","true","true","false","false","","SAFE","Splash Velvet Petals Victoria's Secret 250ml &ndash; Drop Shop","Bruma corporal Velvet Petals de Victoria&#39;s Secret, de familia floral, frutal y gourmand.Las notasSegún la ficha olfativa de Fragrantica, la salida es de almendra; el corazón, de flor de albaricoque, leche de coco y loto; y el fondo, de sándalo y vainilla. Es un aroma cremoso y dulce más que floral fresco.Cómo se usaApl","Splash Velvet Petals Victoria&#39;s Secret 250ml","Bruma corporal Velvet Petals de Victoria&#39;s Secret, de familia floral, frutal y gourmand.Las notasSegún la ficha olfativa de Fragrantica, la salida es de almendra; el corazón, de flor de albaricoque, leche de coco y loto; y el fondo, de sándalo y vainilla. Es un aroma cremoso y dulce más que floral fresco.Cómo se usaApl","https://drop-shop-g7.myshopify.com/products/splash-velvet-petals-victorias-secret-250ml","true","true","true","200","","BelVic-461","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"hidratante-facial-diario-con-acido-hialuronico-y-ceramidas-piel-sensible-89-ml","https://drop-shop-g7.myshopify.com/products/hidratante-facial-diario-con-acido-hialuronico-y-ceramidas-piel-sensible-89-ml","Hidratante facial diario con ácido hialurónico y ceramidas – piel sensible (89 ml)","Vanicream","cosmético/cuidado personal o dispositivo","Cuidado facial","","false","0","0","","true","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelVan-001-principal.png?v=1786466571","5","false","false","5","","768","true","false","false","true","true","false","false","","SAFE","Hidratante facial diario con ácido hialurónico y ceramidas – piel sens &ndash; Drop Shop","Hidratante facial de uso diario con ácido hialurónico y ceramidas, formulado para piel sensible.Qué hace cada cosaEl ácido hialurónico retiene agua en la superficie de la piel y las ceramidas son lípidos que forman parte de la barrera cutánea, la capa que evita que la piel pierda humedad.Cómo se usaAplica sobre el rost","Hidratante facial diario con ácido hialurónico y ceramidas – piel sens","Hidratante facial de uso diario con ácido hialurónico y ceramidas, formulado para piel sensible.Qué hace cada cosaEl ácido hialurónico retiene agua en la superficie de la piel y las ceramidas son lípidos que forman parte de la barrera cutánea, la capa que evita que la piel pierda humedad.Cómo se usaAplica sobre el rost","https://drop-shop-g7.myshopify.com/products/hidratante-facial-diario-con-acido-hialuronico-y-ceramidas-piel-sensible-89-ml","true","true","true","200","","BelVan-001","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"cepillo-secador-revlon-cabezal-open-box-volumizer-2-0","https://drop-shop-g7.myshopify.com/products/cepillo-secador-revlon-cabezal-open-box-volumizer-2-0","Cepillo Secador Revlon Cabezal (open Box) Volumizer 2.0","Revlon","cosmético/cuidado personal o dispositivo","Cuidado capilar","","false","0","0","","true","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelRev-120-principal-lote-03.png?v=1786397634","5","false","false","5","","858","false","false","false","false","true","false","false","","SAFE","Cepillo Secador Revlon Cabezal (open Box) Volumizer 2.0 &ndash; Drop Shop","One-Step Volumizer Plus 2.0 de Revlon en caja abierta. Es un cepillo secador ovalado que seca, alisa y da volumen en un solo paso.Qué cambia en la versión Plus 2.0El cabezal es más pequeño (unas 2,4 pulgadas) y el mango más delgado, lo que facilita acercarse a la raíz. Añade un ajuste medio de temperatura y el cabezal ","Cepillo Secador Revlon Cabezal (open Box) Volumizer 2.0","One-Step Volumizer Plus 2.0 de Revlon en caja abierta. Es un cepillo secador ovalado que seca, alisa y da volumen en un solo paso.Qué cambia en la versión Plus 2.0El cabezal es más pequeño (unas 2,4 pulgadas) y el mango más delgado, lo que facilita acercarse a la raíz. Añade un ajuste medio de temperatura y el cabezal ","https://drop-shop-g7.myshopify.com/products/cepillo-secador-revlon-cabezal-open-box-volumizer-2-0","true","true","true","200","","BelRev-120","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"cabezales-para-cepillo-philips-sonicare-c2-4pz","https://drop-shop-g7.myshopify.com/products/cabezales-para-cepillo-philips-sonicare-c2-4pz","Cabezales Para Cepillo Philips Sonicare C2 - 4pz","Philips","cosmético/cuidado personal o dispositivo","Higiene oral","","false","0","0","","true","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelPhi-39-principal-lote-03.png?v=1786397628","5","false","false","5","","621","false","false","false","false","false","false","false","","SAFE","Cabezales Para Cepillo Philips Sonicare C2 - 4pz &ndash; Drop Shop","Pack de 4 cabezales de repuesto para cepillo dental Philips Sonicare, serie C2 Optimal Plaque Defense, enfocado a la placa.Compatibilidad. Ajuste a presión (snap-on), el estándar de los mangos Sonicare actuales. Antes de comprar, comprueba que tu mango sea de ajuste a presión y no de rosca: si tienes dudas, escríbenos ","Cabezales Para Cepillo Philips Sonicare C2 - 4pz","Pack de 4 cabezales de repuesto para cepillo dental Philips Sonicare, serie C2 Optimal Plaque Defense, enfocado a la placa.Compatibilidad. Ajuste a presión (snap-on), el estándar de los mangos Sonicare actuales. Antes de comprar, comprueba que tu mango sea de ajuste a presión y no de rosca: si tienes dudas, escríbenos ","https://drop-shop-g7.myshopify.com/products/cabezales-para-cepillo-philips-sonicare-c2-4pz","true","true","true","200","","BelPhi-39","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"philips-norelco-recortadora-serie-3000-13-en-1-mg3919-50","https://drop-shop-g7.myshopify.com/products/philips-norelco-recortadora-serie-3000-13-en-1-mg3919-50","Philips Norelco Recortadora Serie 3000 13 en 1 (MG3919/50)","Philips","REVIEW","Afeitado y grooming","","false","0","0","","true","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelPhi-284-principal-lote-philips-02.png?v=1786397047","5","false","false","5","","721","false","false","false","false","true","false","false","","SAFE","Philips Norelco Recortadora Serie 3000 13 en 1 (MG3919/50) &ndash; Drop Shop","Recortadora Philips Norelco All-in-One Serie 3000, 13 en 1, referencia MG3919/50. Sirve como recortadora de barba, perfilador, cortapelo y recortadora de nariz y detalles.Las cuchillasAcero autoafilable, con puntas redondeadas para que el corte sea más amable con la piel.Largos9 posiciones, de 0,5 mm a 16 mm: alcanza d","Philips Norelco Recortadora Serie 3000 13 en 1 (MG3919/50)","Recortadora Philips Norelco All-in-One Serie 3000, 13 en 1, referencia MG3919/50. Sirve como recortadora de barba, perfilador, cortapelo y recortadora de nariz y detalles.Las cuchillasAcero autoafilable, con puntas redondeadas para que el corte sea más amable con la piel.Largos9 posiciones, de 0,5 mm a 16 mm: alcanza d","https://drop-shop-g7.myshopify.com/products/philips-norelco-recortadora-serie-3000-13-en-1-mg3919-50","true","true","true","200","","BelPhi-284","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
