handle,url,title,class,terms,status,reason
"tonico-facial-neutrogena-sin-alcohol-hipoalergenico-236mg","https://drop-shop-g7.myshopify.com/products/tonico-facial-neutrogena-sin-alcohol-hipoalergenico-236mg","Tónico facial Neutrogena sin alcohol hipoalergénico,236(Mg)","REVIEW","hipoalergen","COSMÉTICO","“Hipoalergénico” debe coincidir con etiqueta/NSO; además “236(Mg)” es unidad probablemente incorrecta."
"serum-hidratante-antioxidante-pure-vitamin-c10-30ml","https://drop-shop-g7.myshopify.com/products/serum-hidratante-antioxidante-pure-vitamin-c10-30ml","Sérum Hidratante Antioxidante Pure Vitamin C10 30ml","REVIEW","antioxidante","COSMÉTICO","“Antioxidante” y función de ingredientes deben quedar trazables a etiqueta/fabricante y NSO."
"serum-ordinary-crecimiento-pestanas-y-cejas-multipeptide","https://drop-shop-g7.myshopify.com/products/serum-ordinary-crecimiento-pestanas-y-cejas-multipeptide","Serum Ordinary  Crecimiento Pestañas Y Cejas Multipeptide","REVIEW","crecimiento","COSMÉTICO","“Crecimiento” en el título puede implicar resultado fisiológico; reescribir como sérum para pestañas y cejas salvo soporte autorizado."
"aceite-de-ricino-castor-organico-majestic-pure-usda-x236-ml","https://drop-shop-g7.myshopify.com/products/aceite-de-ricino-castor-organico-majestic-pure-usda-x236-ml","Aceite de Ricino-Castor Orgánico Majestic Pure USDA x236 ml","REVIEW","","COSMÉTICO / EVIDENCIA REQUERIDA","“USDA certificado”, “100 % puro”, “libre de hexano” necesitan evidencia documental accesible; el título lo presenta como hecho."
"gel-de-tratamiento-para-el-acne-differin-0-1-de-adapaleno-x15g","https://drop-shop-g7.myshopify.com/products/gel-de-tratamiento-para-el-acne-differin-0-1-de-adapaleno-x15g","Gel de Tratamiento para el Acné Differin 0.1% de Adapaleno x15g","REMOVE / REWRITE","tratamiento|acne|acné","MEDICAMENTO / ESTATUS COLOMBIA NO VERIFICADO","Adapaleno, claims terapéuticos y soporte basado en etiqueta FDA; no se muestra registro o condición de venta INVIMA. Retirar de TikTok y pausar venta hasta verificación."
"serum-fortalecedor-de-pestanas-dabalash-0-18fl-5-32ml","https://drop-shop-g7.myshopify.com/products/serum-fortalecedor-de-pestanas-dabalash-0-18fl-5-32ml","Sérum fortalecedor de pestañas Dabalash 0.18FL/ 5.32ml","HIGH RISK","embarazo","COSMÉTICO SENSIBLE / REVIEW","Declara dehidrolatanoprost, riesgos y restricción en embarazo; validar NSO, rotulado y claims antes de pauta."
"colgate-total-24-horas-blanqueamiento-avanzado-181g","https://drop-shop-g7.myshopify.com/products/colgate-total-24-horas-blanqueamiento-avanzado-181g","Colgate Total 24 Horas Blanqueamiento Avanzado 181g","HIGH RISK","dolor|alivio","HIGIENE ORAL SENSIBLE / REVIEW","Claims de caries, gingivitis, sensibilidad y periodontitis apoyados en FDA, no en autorización colombiana visible."
"tratamiento-capilar-artnaturals-aceite-de-romero-ricino-y-biotina-118-ml","https://drop-shop-g7.myshopify.com/products/tratamiento-capilar-artnaturals-aceite-de-romero-ricino-y-biotina-118-ml","Tratamiento capilar, Artnaturals Aceite de Romero + Ricino y Biotina 118 ML","REVIEW","tratamiento","REVIEW","Término sensible contextual; comprobar contra etiqueta y autorización aplicable."
"serum-niacinamida-ordinary-30ml-tratamiento-facial","https://drop-shop-g7.myshopify.com/products/serum-niacinamida-ordinary-30ml-tratamiento-facial","Serum Niacinamida Ordinary 30(ml), tratamiento facial","REVIEW","tratamiento","REVIEW","Término sensible contextual; comprobar contra etiqueta y autorización aplicable."
"ogx-aceite-de-argan-de-marruecos-penetrante-3-3-onzas-3-3-fl-oz","https://drop-shop-g7.myshopify.com/products/ogx-aceite-de-argan-de-marruecos-penetrante-3-3-onzas-3-3-fl-oz","Ogx Aceite de argán de Marruecos penetrante 3.3 onzas (3.3 fl oz)","REVIEW","tratamiento","REVIEW","Término sensible contextual; comprobar contra etiqueta y autorización aplicable."
"lumify-redad-alivio-gotas-de-ojos-0-08-onzas-2-5ml","https://drop-shop-g7.myshopify.com/products/lumify-redad-alivio-gotas-de-ojos-0-08-onzas-2-5ml","LUMIFY Redad Alivio Gotas de ojos 0.08 onzas (2.5ml)","REMOVE / REWRITE","alivio","MEDICAMENTO / ESTATUS COLOMBIA NO VERIFICADO","Brimonidina oftálmica con claims de inicio y duración, respaldados solo con FDA/fabricante; requiere verificación INVIMA y copy limitado a lo autorizado."
